"","lvdzone2","stunted","se","avg","ci","ub","lb","N","unweighted_avg","unweighted_sd"
"1","Western Congo-Nile Crest Tea",0.42897196372231,0.0331038225656298,0.42897196372231,0.0662076451312596,0.495179608853569,0.36276431859105,227,0.427312775330396,0.495781589048654
"2","Northwestern Volcanic Irish Potato",0.410525474463967,0.0300007700531646,0.410525474463967,0.0600015401063292,0.470527014570296,0.350523934357638,261,0.413793103448276,0.493458535502171
"3","Eastern Congo-Nile Highland Subsistence Farming",0.404606642048998,0.0249472207362621,0.404606642048998,0.0498944414725242,0.454501083521523,0.354712200576474,451,0.388026607538803,0.487841831564082
"4","Northern Highland Beans and Wheat",0.362952815432276,0.0453138837241381,0.362952815432276,0.0906277674482763,0.453580582880553,0.272325047984,76,0.368421052631579,0.485581582933507
"5","Bugesera Cassava",0.347099350648282,0.0477584097691728,0.347099350648282,0.0955168195383456,0.442616170186628,0.251582531109936,172,0.337209302325581,0.474137323515443
"6","Central-Northern Highland Irish Potato, Beans and Vegetables",0.318857774137025,0.0423823796438033,0.318857774137025,0.0847647592876065,0.403622533424632,0.234093014849419,170,0.305882352941176,0.462141385977802
"7","Eastern Agropastoral",0.31317181684065,0.0738557562540339,0.31317181684065,0.147711512508068,0.460883329348718,0.165460304332582,104,0.307692307692308,0.463773527692987
"8","Eastern Plateau Mixed Agricultural",0.307783240515691,0.0346532166115245,0.307783240515691,0.0693064332230489,0.37708967373874,0.238476807292642,172,0.308139534883721,0.463072655756874
"9","Central Plateau Cassava and Coffee",0.306634761526055,0.0172581698795664,0.306634761526055,0.0345163397591327,0.341151101285188,0.272118421766922,615,0.307317073170732,0.461757500077058
"10","Lake Kivu Coffee",0.30180927554637,0.02637687418954,0.30180927554637,0.05275374837908,0.35456302392545,0.24905552716729,412,0.29126213592233,0.454896431327346
"11","Southeastern Plateau Banana",0.298397501505182,0.0250747982567271,0.298397501505182,0.0501495965134542,0.348547098018636,0.248247904991728,376,0.289893617021277,0.454317350889386
"12","Eastern Semi-Arid Agropastoral",0.254536970538757,0.0350870681565983,0.254536970538757,0.0701741363131966,0.324711106851954,0.18436283422556,99,0.252525252525253,0.436671883156537
"13","Urban Area",0.186826417597356,0.0244792172581768,0.186826417597356,0.0489584345163536,0.235784852113709,0.137867983081002,389,0.187660668380463,0.390943780096907
